dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,1,0.3723418191345356,0.19688265233463234,0.18601407595410738,0.2575361880972785,0.045585037291047716,79247,309.559,3513048,2.66
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,2,0.5926378760752805,0.40577917749258136,0.4106031428051569,0.4600133911134835,0.029078496192890865,79247,309.559,3513048,2.672
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,3,0.6865202392908607,0.4894921031441864,0.4825676282894688,0.5539356121590183,0.02236623312215576,79247,309.559,3513048,2.593
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,4,0.7253395048251168,0.5322160891648421,0.5349633177520486,0.5948505722280012,0.019589094895241195,79247,309.559,3513048,2.603
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,5,0.7400986856469149,0.6097118363637808,0.6638288731995734,0.6420615162866365,0.018536363157242833,79247,309.559,3513048,2.664
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,6,0.7457316274398498,0.6250060218301788,0.6658960036241562,0.6550617485080907,0.01813258151824063,79247,309.559,3513048,2.746
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,7,0.7492685908912274,0.631638685142705,0.6658897955173179,0.6581776864908271,0.017882644238578473,79247,309.559,3513048,2.719
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,8,0.7520632286799703,0.634997769666749,0.6680370793732171,0.6611057860781535,0.01768109986648657,79247,309.559,3513048,3.224
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,9,0.7524562246190123,0.6367578356363411,0.6718225599263248,0.6668621607010451,0.017649722367033157,79247,309.559,3513048,2.972
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,42,10,0.7538972097288328,0.650005954817804,0.6720869337764621,0.6863609487656662,0.017547577767408246,79247,309.559,3513048,2.752
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,1,0.4362691585520283,0.2697012435060781,0.303047110618523,0.3046636661379984,0.04023796637685189,79247,309.559,3513048,2.516
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,2,0.6390113968822322,0.4424686063948367,0.5154339317989775,0.5018575422588368,0.02579184810299005,79247,309.559,3513048,2.645
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,3,0.7235491899917034,0.5416389616702344,0.526397606814222,0.589551279550265,0.019736775563013214,79247,309.559,3513048,2.678
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,4,0.7321514344351775,0.5490672844462633,0.5313687711170684,0.5981152308888732,0.01912413496449928,79247,309.559,3513048,2.729
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,5,0.7315837736343391,0.5563647070328118,0.6413065300116314,0.6115604713127041,0.019182859367258418,79247,309.559,3513048,2.651
edge_iiotset,mlp,reputation,10,backdoor,0.2,0.5,43,6,0.7442033098991311,0.5941911684593753,0.6327549315144464,0.6389664738012133,0.018281326701166476,79247,309.559,3513048,3.464
