dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,1,0.3636522422601633,0.18544937513833054,0.24924020595754964,0.24105378843219658,0.0477357745388165,79247,309.559,3513048,5.564
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,2,0.5256975677917994,0.30723653706104337,0.2820650902511906,0.3960828811116316,0.033869574677935506,79247,309.559,3513048,3.989
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,3,0.5844286275708485,0.3516975391142206,0.3410522263692269,0.454850031619603,0.029614587480766383,79247,309.559,3513048,3.605
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,4,0.5840356316318065,0.34928145182703835,0.342715395310171,0.45458923843745525,0.029637581295317343,79247,309.559,3513048,4.368
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,5,0.5828566438146806,0.34434148853087215,0.30087857151976827,0.45370211435509966,0.02972127512291251,79247,309.559,3513048,3.955
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,6,0.5832496397537226,0.3445882018368008,0.301105991789812,0.4540123627545506,0.02969312750185514,79247,309.559,3513048,3.654
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,7,0.5845596262171957,0.3453484932118121,0.30159211961319826,0.4552871066834969,0.029602470322155162,79247,309.559,3513048,3.999
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,8,0.5852582856643814,0.3456388046978151,0.3017438369962398,0.455985579259513,0.02955538884948965,79247,309.559,3513048,3.63
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,9,0.5859132788961181,0.3462411159255751,0.30222389374593683,0.4565728800911845,0.02951048966480515,79247,309.559,3513048,3.369
edge_iiotset,mlp,fedavg,10,none,0.0,0.1,42,10,0.5863499410506091,0.3468601010371008,0.3053940432817707,0.4569817480619186,0.029480016467877897,79247,309.559,3513048,5.022
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,1,0.3026942054932099,0.1578135579304107,0.2725823434028622,0.18786890411564305,0.054663104472956726,79247,309.559,3513048,3.662
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,2,0.5668311427448584,0.3749900697742316,0.4770639836945239,0.43019115631894783,0.03096916145816174,79247,309.559,3513048,3.296
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,3,0.708702676739007,0.5185424946542363,0.5323010197385043,0.5765146633617343,0.02078760827020929,79247,309.559,3513048,3.31
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,4,0.7326754290205668,0.5846936835573949,0.6560549765124436,0.6196397567511969,0.019080480424570462,79247,309.559,3513048,4.358
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,5,0.7492685908912274,0.6372225471045433,0.6906476186372518,0.6533080698891237,0.017893927788775663,79247,309.559,3513048,3.599
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,6,0.7484825990131435,0.6381737511120348,0.6891795908067254,0.6565747855242433,0.017941216947101553,79247,309.559,3513048,3.691
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,7,0.7489629273830837,0.6394828776352394,0.6887594072118088,0.65618077642476,0.017910928870910853,79247,309.559,3513048,3.641
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,8,0.7528928867735033,0.6444694694987925,0.6890442754596141,0.6596150340328465,0.017633826368873076,79247,309.559,3513048,3.558
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,9,0.7524125584035631,0.6506879010770226,0.6927895044727584,0.6713236351513673,0.017660772507475223,79247,309.559,3513048,4.034
edge_iiotset,mlp,fedavg,10,none,0.0,0.5,42,10,0.7566045150866775,0.6584132272537044,0.7035591547904493,0.6784591178985476,0.017359891974210947,79247,309.559,3513048,3.523
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,1,0.5770927033753984,0.38426039186820865,0.3809383065949589,0.4449274220082885,0.030442524982802747,79247,309.559,3513048,3.738
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,2,0.6308458145932492,0.45085594765914194,0.45259468607305925,0.4959908582564093,0.026374386285138315,79247,309.559,3513048,3.577
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,3,0.7096196672634383,0.5108358542696694,0.6054331390406029,0.5769923170571312,0.020729994540697037,79247,309.559,3513048,3.55
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,4,0.7163005982271516,0.5578991685820381,0.6937340410529255,0.605661053783045,0.020245992433432246,79247,309.559,3513048,3.796
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,5,0.762106458233265,0.6643083726678489,0.7057173518705168,0.665515352081983,0.016976421108415313,79247,309.559,3513048,3.428
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,6,0.7679140648879962,0.6770520414392359,0.7154673219319089,0.6765508371982104,0.016560196640619602,79247,309.559,3513048,3.384
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,7,0.7707960351076372,0.6801334505352539,0.7089596030106584,0.6774169323547616,0.016363080535682504,79247,309.559,3513048,3.506
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,8,0.7611021352779355,0.6738371424187701,0.6997609429705859,0.6732202847948262,0.01704578635112757,79247,309.559,3513048,3.2
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,9,0.7619754595869176,0.680408374744108,0.7008058949777969,0.683731007278389,0.016982700709267315,79247,309.559,3513048,3.471
edge_iiotset,mlp,fedavg,10,none,0.0,1.0,42,10,0.7573468407493122,0.6716208171076694,0.7000554796241939,0.6795475165188856,0.017312280712370395,79247,309.559,3513048,4.117
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,1,0.3254879699576438,0.18875068122130204,0.21530350529730427,0.2155709975680576,0.051537991447215284,79247,309.559,6706728,3.506
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,2,0.4350465045194533,0.2385462549926108,0.2502998511995128,0.30046036207769156,0.0431193421853205,79247,309.559,6706728,3.878
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,3,0.47679140648879964,0.2881669748843588,0.2813645081587634,0.34567883573649033,0.03783224169726177,79247,309.559,6706728,3.78
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,4,0.5188419719662897,0.30898276222203275,0.289884676746923,0.3885102419307184,0.034485413350318773,79247,309.559,6706728,3.363
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,5,0.5429020566787477,0.33879465078336124,0.3349758736348813,0.41195029969273605,0.03259824014687419,79247,309.559,6706728,3.91
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,6,0.5526832889393476,0.3508400489884734,0.39121423597515886,0.42171288931945666,0.03189630114423651,79247,309.559,6706728,3.455
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,7,0.5897995720710886,0.38071258538516267,0.36252554152040894,0.4581035548117303,0.02924852557282321,79247,309.559,6706728,3.6
edge_iiotset,mlp,fedavg,20,none,0.0,0.1,42,8,0.6059560717872582,0.3886000550727541,0.4091240564653525,0.473848434861744,0.028097541461941305,79247,309.559,6706728,3.951
