dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,1,0.19165101960613073,0.06443322192487602,0.09016409273097607,0.14829003875139543,0.0582287001541563,79247,309.559,3513048,1.282
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,2,0.427186585738614,0.1997730405168449,0.19343149676954724,0.31747966140538997,0.04103388338691659,79247,309.559,3513048,1.511
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,3,0.4824243482817344,0.28044598117743663,0.2566163907778715,0.3666067199246058,0.03691736745421669,79247,309.559,3513048,1.501
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,4,0.5582288983013842,0.39061776535219944,0.3670205432353281,0.48536052494650583,0.03170178618645304,79247,309.559,3513048,1.418
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,5,0.5527269551547968,0.3795478829176704,0.3733085363007104,0.45012448062982746,0.03189333676167425,79247,309.559,3513048,1.266
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,6,0.6581808654643903,0.4724348616925942,0.4284264722149601,0.5705515443017094,0.0244081792654855,79247,309.559,3513048,1.46
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,7,0.7218462075891883,0.5710887456904311,0.5631750440020608,0.6391844755711774,0.019872788792869116,79247,309.559,3513048,1.922
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,8,0.6992707742019999,0.5736099681227734,0.5729634007793912,0.6308160013783084,0.02147874844681441,79247,309.559,3513048,1.493
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,9,0.6599711802978036,0.5374571815193672,0.5561269007234494,0.6014158053126447,0.024232346807049412,79247,309.559,3513048,1.549
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,42,10,0.7279594777520633,0.5916545544407238,0.5875479617751558,0.6560933601804798,0.01943497821260705,79247,309.559,3513048,1.329
edge_iiotset,mlp,krum,10,label_flip,0.2,0.5,43,1,0.4710711322649666,0.25106814430938,0.2515989776625091,0.3535935942900311,0.03780111593861476,79247,309.559,3513048,1.421
