dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,1,0.3407274791493821,0.1374500675569279,0.17591678869397667,0.22382291098826945,0.04989813514003324,79247,309.559,3513048,1.349
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,2,0.581808654643902,0.38281471293352337,0.39697819266337747,0.44530345345460093,0.029848440034211717,79247,309.559,3513048,2.0
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,3,0.6931575040391249,0.5095115740572073,0.5000916018084518,0.5608667849614871,0.02189316165096643,79247,309.559,3513048,1.339
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,4,0.7325007641587704,0.5768409496574342,0.6269262307329779,0.6296585717912215,0.01911909414296392,79247,309.559,3513048,1.301
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,5,0.7636784419894328,0.6627370535995817,0.7290693664790739,0.6713066892922536,0.0168645999204031,79247,309.559,3513048,1.178
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,6,0.7602288109689533,0.6580291262555933,0.7144250393325049,0.668653266423165,0.017105021531411413,79247,309.559,3513048,1.419
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,7,0.7645081000829658,0.662819790484322,0.7127042438392619,0.679669087188858,0.016818687187250717,79247,309.559,3513048,1.18
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,8,0.7642897690057203,0.6671284134605372,0.7236620113332584,0.6983037225280634,0.01679810247869955,79247,309.559,3513048,1.145
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,9,0.7588314920745819,0.6537191472739806,0.6793710656462151,0.6932730668892277,0.017184445876553957,79247,309.559,3513048,1.2
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,42,10,0.765818086546439,0.6727527685738821,0.7245567650691126,0.6995212747540768,0.01669150892289871,79247,309.559,3513048,1.209
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,1,0.3819920527487883,0.17180510210711325,0.1726405517150719,0.25598465899821143,0.04670109392986599,79247,309.559,3513048,1.405
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,2,0.5978341557137243,0.39590945104700903,0.37564701420999563,0.46286178652306,0.028713362826355993,79247,309.559,3513048,1.259
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,3,0.6900135365267892,0.4824368226641359,0.48127570290086724,0.5529535471774093,0.022151474258619352,79247,309.559,3513048,1.363
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,4,0.7187459062923016,0.5342575596312411,0.5956189414537837,0.5847823326515731,0.020081328591211735,79247,309.559,3513048,1.363
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,5,0.745382297716257,0.5998220382205696,0.660345724241479,0.624782500180011,0.018170099922657258,79247,309.559,3513048,1.182
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,6,0.7449019693463168,0.5991356786220638,0.6360678423024528,0.6457616218307116,0.018223387966723882,79247,309.559,3513048,1.281
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,7,0.7540282083751801,0.6230560441637712,0.6592273926161806,0.6578748896666546,0.017566361928721512,79247,309.559,3513048,1.161
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,8,0.7613641325706301,0.6549553408056062,0.7373248707461113,0.6692751930753996,0.01702554696801928,79247,309.559,3513048,1.199
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,9,0.7510589057246408,0.6182786880450206,0.7185564129744417,0.657145293016071,0.017779270686586295,79247,309.559,3513048,1.348
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,43,10,0.7676957338107506,0.6553569408171114,0.7366180142894099,0.6848084906423034,0.016594722136952046,79247,309.559,3513048,1.204
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,1,0.4229072966246015,0.22039437485880023,0.2177842978842646,0.29053860011303534,0.042718474019042094,79247,309.559,3513048,1.291
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,2,0.5590585563949173,0.3544846790075674,0.40814017946019004,0.4301962256484651,0.03142986086808589,79247,309.559,3513048,1.434
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,3,0.7099689969870311,0.5408413935613773,0.6145793895724373,0.6014161817337818,0.02066682820543136,79247,309.559,3513048,1.22
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,4,0.7290074669228418,0.5883958900731715,0.6091816508359698,0.641764058563,0.01930291649986592,79247,309.559,3513048,1.335
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,5,0.7273918169512248,0.5912594885396647,0.6131743928358243,0.6483719055449804,0.019419451384494173,79247,309.559,3513048,1.325
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,6,0.7316274398497882,0.5979107212686959,0.6156336739033343,0.655161680476096,0.01911680375445245,79247,309.559,3513048,1.532
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,7,0.7335487533295489,0.6101111032986819,0.6130785412685599,0.669233493751313,0.01897896530141911,79247,309.559,3513048,1.38
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,8,0.7381773721671543,0.6131906411580821,0.6127177553328871,0.6744593900199389,0.01864774459927902,79247,309.559,3513048,1.316
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,9,0.7375660451508668,0.6201989265959356,0.6577881904245493,0.6723595985580818,0.01869928420047654,79247,309.559,3513048,1.216
edge_iiotset,mlp,median,10,label_flip,0.2,0.5,44,10,0.7462992882406881,0.6279649850888227,0.6215337257664924,0.6831756355633251,0.018063673524347294,79247,309.559,3513048,1.335
