dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,1,0.3678005327278285,0.17322755892031041,0.18575083575613513,0.2465149040529104,0.048085444359182626,79247,309.559,3513048,1.337
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,2,0.6123313392428278,0.4073991608377846,0.4139734588765973,0.4757052773382596,0.027702881969545914,79247,309.559,3513048,1.221
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,3,0.7101873280642766,0.5048307882106587,0.4853901218149753,0.5715687618459169,0.020715512612654318,79247,309.559,3513048,1.31
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,4,0.7310161128335008,0.5662444263311812,0.5652770841897831,0.6230620927024982,0.019225700629454077,79247,309.559,3513048,1.311
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,5,0.7458626260861971,0.6059879301911182,0.6922556767797947,0.6480828926130013,0.018161470061787238,79247,309.559,3513048,1.385
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,6,0.7485699314440417,0.6096594535133052,0.6595158534102051,0.6507916206856909,0.01796744449709566,79247,309.559,3513048,1.405
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,7,0.7553818610541024,0.6256751232645927,0.6689850956725654,0.6603065087117707,0.017479453817320266,79247,309.559,3513048,1.416
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,8,0.7616261298633248,0.6421431236110158,0.6754744811958294,0.6776471447574559,0.017032814368858017,79247,309.559,3513048,1.344
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,9,0.7666477446399721,0.6573280261870214,0.7105989992095947,0.6926883992076643,0.01667417559562617,79247,309.559,3513048,1.231
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,42,10,0.7667350770708703,0.6565364716058965,0.6849473736660864,0.6926994047352746,0.016668223319258973,79247,309.559,3513048,1.252
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,1,0.4168813588926248,0.20606611125338845,0.18252341698465877,0.2849737364122959,0.04396293223587598,79247,309.559,3513048,1.558
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,2,0.5943845246932449,0.3991026534799295,0.38318599073844434,0.4593222374225732,0.028959285011221605,79247,309.559,3513048,1.575
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,3,0.6725470503471465,0.4907365059992549,0.5195349486517674,0.5402693830093653,0.02337526035596258,79247,309.559,3513048,1.756
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,4,0.7158202698572115,0.5311638983257716,0.5979603265963721,0.5827027559275761,0.020282297633143802,79247,309.559,3513048,1.337
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,5,0.7378717086590105,0.5942912066582192,0.6630312547049405,0.6232274727267135,0.018704565691197803,79247,309.559,3513048,1.445
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,6,0.7445526396227239,0.5943491404249018,0.6357821065127311,0.6405947915934325,0.018248268416435846,79247,309.559,3513048,1.588
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,7,0.7485699314440417,0.6049372685654794,0.7007343662065186,0.6495593157983708,0.017960369017512332,79247,309.559,3513048,1.524
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,8,0.7487445963058382,0.6199961097775654,0.7279545836451659,0.6537613469044438,0.017939549249310793,79247,309.559,3513048,1.392
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,9,0.748264267935898,0.6061110838259568,0.7023362247141635,0.6516818995106453,0.017981854296057656,79247,309.559,3513048,1.279
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,43,10,0.7520195624645212,0.6169902086609091,0.749063011718814,0.6588916177038677,0.01771399784276142,79247,309.559,3513048,1.507
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,1,0.4771844024278416,0.27085357012891176,0.3021795628321054,0.3389741887202726,0.03911036029813072,79247,309.559,3513048,1.324
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,2,0.6002794637788743,0.401941465712083,0.40468933329487,0.4714533791439738,0.02848217188392699,79247,309.559,3513048,1.387
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,3,0.6683550936640321,0.48732521776846016,0.5367884005043283,0.5593685725576107,0.023636384687148914,79247,309.559,3513048,1.27
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,4,0.7276538142439195,0.5860224260574913,0.6052965878861524,0.6379485979386611,0.01939818458850163,79247,309.559,3513048,1.235
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,5,0.7293567966464346,0.5937881915242141,0.6143178970153232,0.6503172419203154,0.019278810902199843,79247,309.559,3513048,1.65
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,6,0.730317453386315,0.5978811084872739,0.6148852325012029,0.656116956744084,0.019209617730562678,79247,309.559,3513048,1.3
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,7,0.7318894371424829,0.6049410268489829,0.615838845141181,0.6673337191099055,0.019096262253502264,79247,309.559,3513048,1.449
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,8,0.7374787127199686,0.611657136241078,0.6137421682325607,0.6734724431822489,0.01869803853771591,79247,309.559,3513048,1.292
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,9,0.7354264005938606,0.6069715410396408,0.6190808507173978,0.6710201120938882,0.01884710013272106,79247,309.559,3513048,1.411
edge_iiotset,mlp,trimmed_mean,10,label_flip,0.2,0.5,44,10,0.7359940613946989,0.6083570691027858,0.6184683164436389,0.6715088649836976,0.01880630002123487,79247,309.559,3513048,1.255
