dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,1,0.18125846032924325,0.04824282294035832,0.14412408922265432,0.08340589151517218,0.06483402489626557,79247,309.559,3513048,1.827
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,2,0.5694074494563556,0.3738647205784627,0.4416636610887638,0.43320854364815237,0.03076866467162693,79247,309.559,3513048,1.007
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,3,0.6966508012750535,0.48621581894397287,0.46162519161979854,0.5659560148811787,0.0216420680759947,79247,309.559,3513048,0.858
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,4,0.7032443998078687,0.501530214317544,0.5006485784130219,0.5723598713345752,0.021173792253927095,79247,309.559,3513048,0.773
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,5,0.7243788480852364,0.5358225997180782,0.602301225341748,0.5929521457573147,0.01966159432892316,79247,309.559,3513048,0.867
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,6,0.7318021047115847,0.5710277829879716,0.7017709625381047,0.613352222357806,0.019125747572616078,79247,309.559,3513048,0.768
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,7,0.7483952665822453,0.6330143939006434,0.6963800391788371,0.6577030952712497,0.017941011274442815,79247,309.559,3513048,0.809
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,8,0.7540718745906292,0.644656325293542,0.6935098360062428,0.662532107129102,0.017539410469834718,79247,309.559,3513048,0.834
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,9,0.7614951312169774,0.6524080230037967,0.7181523156697244,0.6745295971948182,0.01700091800111184,79247,309.559,3513048,0.946
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,42,10,0.7616261298633248,0.6573793154571117,0.7168727414387513,0.6766903782907627,0.01699434967141406,79247,309.559,3513048,1.016
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,43,1,0.4434740841011309,0.2513813352998824,0.29437477980422816,0.31043273974542995,0.04144539759109789,79247,309.559,3513048,0.876
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,43,2,0.6346884415527706,0.4407771694272162,0.5114768644000098,0.49749282612642104,0.026104544150497414,79247,309.559,3513048,0.94
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,43,3,0.7363433911182917,0.5603628894747626,0.5984036214270567,0.6025052253011207,0.01882699523610604,79247,309.559,3513048,0.889
edge_iiotset,mlp,fedavg,10,none,0.2,0.5,43,4,0.7337234181913453,0.5503037127305999,0.598381468632222,0.5989487859111884,0.019015575544525223,79247,309.559,3513048,0.918
