dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,1,0.33819483865333394,0.13390092506396456,0.1367310733157323,0.2236345845984265,0.04907274784214086,79247,309.559,3513048,3.297
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,2,0.6186192742674992,0.4255467765484705,0.40993612242080885,0.49685759020028164,0.02725572321365748,79247,309.559,3513048,3.303
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,3,0.6072660582507314,0.3899351501994469,0.39206520484936863,0.4807527978830125,0.028035791983271056,79247,309.559,3513048,2.041
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,4,0.7262564953495481,0.5360099217566404,0.5367868732952871,0.5964349190696547,0.019513516847934304,79247,309.559,3513048,1.866
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,5,0.7220208724509847,0.5247885309115169,0.552264354368377,0.5942888392359184,0.019817252353377463,79247,309.559,3513048,1.917
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,6,0.7187895725077508,0.5543002685884025,0.6518605655544871,0.6189952747194412,0.02004346068132608,79247,309.559,3513048,1.981
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,7,0.728701803414698,0.5871455402262445,0.6222534793826153,0.6398606619382833,0.01934133030888149,79247,309.559,3513048,1.804
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,8,0.7338107506222435,0.6063358628530252,0.6903789879516247,0.6583922758845234,0.018976292252390652,79247,309.559,3513048,1.855
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,9,0.7324134317278721,0.6097572931193028,0.6836629770813362,0.6663542523978084,0.01907725237952751,79247,309.559,3513048,2.015
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,42,10,0.7448583031308676,0.6345237679513929,0.745912663363358,0.6791583949382718,0.0181855154844355,79247,309.559,3513048,1.897
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,1,0.3849176891838784,0.19534063637484397,0.22505681800537627,0.25824490911994646,0.046787948854466674,79247,309.559,3513048,2.078
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,2,0.6343827780446268,0.4119007294474328,0.41934794425009403,0.5025229664494427,0.02608478265630889,79247,309.559,3513048,2.174
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,3,0.6393607266058251,0.4376021483483551,0.4609252910638377,0.5019031170845459,0.02575736532324,79247,309.559,3513048,2.09
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,4,0.7341600803458365,0.571122639186526,0.630888266221976,0.6216200517754484,0.018942418283031868,79247,309.559,3513048,1.81
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,5,0.753984542159731,0.6248485136747467,0.6662406399906781,0.657975709624772,0.0175706048478064,79247,309.559,3513048,1.978
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,6,0.7464739531024847,0.6262388621622257,0.6719135255697001,0.6549560375242032,0.018080910207712513,79247,309.559,3513048,2.262
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,7,0.780489934937339,0.6922532149226197,0.7266104258385341,0.6929250684876394,0.015667938183784254,79247,309.559,3513048,2.233
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,8,0.7468232828260775,0.6312566250513927,0.7378471108814547,0.671759926412734,0.01804603737533596,79247,309.559,3513048,2.043
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,9,0.8064276669141086,0.7313158369413656,0.7566799181931787,0.7385099507094443,0.01381429319378383,79247,309.559,3513048,1.954
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,43,10,0.77603598096153,0.689026164370555,0.749335888265682,0.7078280216559326,0.015977590237839286,79247,309.559,3513048,1.95
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,1,0.4612462337889175,0.2416280604298338,0.2162303817754112,0.32950320960406665,0.03846850989313751,79247,309.559,3513048,1.904
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,2,0.601807781319593,0.4405363363018629,0.4585056191232329,0.508966432605298,0.028389543705790315,79247,309.559,3513048,1.976
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,3,0.6759093489367276,0.506069297297218,0.5459242390299904,0.5830911965285096,0.0231016316157653,79247,309.559,3513048,2.004
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,4,0.707873018645474,0.5571584463052478,0.5733707076892711,0.6430289207778933,0.020819462240204624,79247,309.559,3513048,1.929
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,5,0.690319200034933,0.5436468631312922,0.5966807900137193,0.6216143340247502,0.022071088954626648,79247,309.559,3513048,2.024
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,6,0.7113226496659535,0.566792493010115,0.6175753652362687,0.646337739788736,0.020572402803974123,79247,309.559,3513048,2.165
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,7,0.6933758351163705,0.5411055752639307,0.5567180468385836,0.6247436968387743,0.021852063174962293,79247,309.559,3513048,1.955
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,8,0.720536221125715,0.5822390322821296,0.6176107103375497,0.6557873203518327,0.019912712996389966,79247,309.559,3513048,1.909
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,9,0.7167372603816428,0.5853530053497981,0.6306434509235458,0.6496123396679455,0.020185216060282472,79247,309.559,3513048,2.037
edge_iiotset,mlp,fedavg,10,scaling,0.2,0.5,44,10,0.7219772062355355,0.5902529924497615,0.6875517951815068,0.6569546993450963,0.019809660807637144,79247,309.559,3513048,2.66
