dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,1,0.3119514431684206,0.0920392038615892,0.06105682293321692,0.19960264900662253,0.051152308338086115,79247,309.559,3513048,2.7
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,2,0.3709008340247151,0.1679638805131832,0.1400489407443977,0.2625947852635442,0.04510593434405473,79247,309.559,3513048,2.594
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,3,0.3803327365617222,0.22686209638037175,0.21128103936228956,0.3329387290470604,0.044035512956511,79247,309.559,3513048,2.766
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,4,0.456137286581372,0.310053278906271,0.26895640280515004,0.44325500869488393,0.038727202846324485,79247,309.559,3513048,3.785
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,5,0.47504475787083533,0.3650217077816219,0.3916137806206797,0.4943744299975109,0.03669976761109443,79247,309.559,3513048,3.161
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,6,0.5117680450635343,0.3452934155974071,0.3334300415491433,0.4655939583633159,0.0350125295764161,79247,309.559,3513048,2.677
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,7,0.5803676695340815,0.40650769363123923,0.3862883192046367,0.5340908344963586,0.03012257708154729,79247,309.559,3513048,2.787
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,8,0.5029038033273656,0.3702000504143948,0.4339608877787159,0.4279758754251765,0.03564321620672124,79247,309.559,3513048,3.064
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,9,0.6580935330334919,0.5305408258608113,0.5205308590423268,0.5940679699274438,0.02439326464457718,79247,309.559,3513048,2.893
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,42,10,0.6711060652373259,0.5612910651424136,0.5347080444920144,0.6428152959277121,0.023425002691262402,79247,309.559,3513048,2.596
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,1,0.31797738090039734,0.2076629208310541,0.25277581663701176,0.26294673385514267,0.04907296513892037,79247,309.559,3513048,4.399
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,2,0.5346928081743155,0.38208088690063724,0.3939168228415756,0.46744979989481544,0.03334867034773461,79247,309.559,3513048,2.711
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,3,0.6039474258765992,0.457380365952332,0.4476135325631294,0.535965868214878,0.028274613525667243,79247,309.559,3513048,2.887
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,4,0.6429413562726518,0.5013952194439655,0.4697998727352568,0.5753687849475929,0.025488478719286885,79247,309.559,3513048,2.892
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,5,0.6534649141958866,0.50943708485247,0.5208447769860016,0.5892611492636395,0.02471926291128568,79247,309.559,3513048,2.539
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,6,0.7114536483123007,0.5685253491062298,0.564418331109227,0.6469261891082099,0.02061788414964287,79247,309.559,3513048,3.59
edge_iiotset,mlp,krum,10,scaling,0.2,0.5,43,7,0.7158202698572115,0.585244709709698,0.5585036029569461,0.6606725589391542,0.020286802089124416,79247,309.559,3513048,2.592
