dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,1,0.33518186978734554,0.1334817251305114,0.17580459038174953,0.21728959053541272,0.050550613718549485,79247,309.559,3513048,2.398
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,2,0.5920702152744421,0.4034571592974751,0.4907980995437509,0.4546360914696699,0.029153140811924327,79247,309.559,3513048,2.208
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,3,0.724597179162482,0.541427734723479,0.5153812871697195,0.592248242494226,0.019640164549702188,79247,309.559,3513048,2.273
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,4,0.7403170167241605,0.5958483832093897,0.6163173410071158,0.640460157976964,0.018561620643262822,79247,309.559,3513048,2.394
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,5,0.747478276057814,0.6266471928073447,0.6574193555024093,0.6571911621148588,0.01800358605511677,79247,309.559,3513048,2.274
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,6,0.7590498231518275,0.6387285884257268,0.6819322536085042,0.6728540343838763,0.017219702460262467,79247,309.559,3513048,2.468
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,7,0.7586568272127855,0.6521902034839389,0.6818362611373077,0.6930365568656455,0.017196089707703196,79247,309.559,3513048,2.437
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,8,0.7711016986157809,0.6643034865629722,0.6865641349505974,0.6974883162966161,0.016357200753989738,79247,309.559,3513048,2.366
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,9,0.7598358150299114,0.6539334093860811,0.6841157623717732,0.6942549896275303,0.017112356596771437,79247,309.559,3513048,2.28
edge_iiotset,mlp,median,10,scaling,0.2,0.5,42,10,0.7766909741932667,0.671205391330048,0.6936721315528002,0.7033179410041314,0.01595682218934952,79247,309.559,3513048,2.573
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,1,0.41133574953058816,0.1965231387827301,0.17586054647662494,0.2785721525397882,0.04452184539388024,79247,309.559,3513048,2.153
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,2,0.6123313392428278,0.41239072286449724,0.4451518359888593,0.4771262550236233,0.027679836439950308,79247,309.559,3513048,2.265
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,3,0.7087900091699052,0.49868480129814863,0.47658999789938705,0.5714888369064819,0.02080314449292111,79247,309.559,3513048,2.355
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,4,0.7360813938255971,0.5627489678803563,0.6295566284415519,0.6122998566146614,0.018856226238641548,79247,309.559,3513048,2.259
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,5,0.7522815597572159,0.6337902943345218,0.6652328995895317,0.6544555928148647,0.017676201029026114,79247,309.559,3513048,2.251
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,6,0.7456442950089516,0.6056333709387716,0.7271526298606775,0.65033456078514,0.018169366888007778,79247,309.559,3513048,2.122
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,7,0.7571721758875158,0.6402325997609456,0.6670566365026012,0.6631720826068286,0.017330949297346562,79247,309.559,3513048,2.287
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,8,0.7725426837256015,0.6822860814037827,0.7497973055486479,0.683891369085781,0.01623555665204572,79247,309.559,3513048,2.249
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,9,0.7546832016069167,0.6231537744603954,0.6900971597218939,0.6652997906414982,0.01752163205134519,79247,309.559,3513048,2.14
edge_iiotset,mlp,median,10,scaling,0.2,0.5,43,10,0.764202436574822,0.6803970098630331,0.7206496810166444,0.7026423574871168,0.01684236403609292,79247,309.559,3513048,2.389
edge_iiotset,mlp,median,10,scaling,0.2,0.5,44,1,0.4312912099908301,0.23406738797942156,0.26272670747548543,0.2975230503873567,0.04202857382721351,79247,309.559,3513048,2.423
