dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,1,0.33819483865333394,0.13390092506396456,0.1367310733157323,0.2236345845984265,0.04907274784214086,79247,309.559,3513048,2.281
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,2,0.6186192742674992,0.4255467765484705,0.40993612242080885,0.49685759020028164,0.02725572321365748,79247,309.559,3513048,2.032
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,3,0.6072660582507314,0.3899351501994469,0.39206520484936863,0.4807527978830125,0.028035791983271056,79247,309.559,3513048,2.161
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,4,0.7262564953495481,0.5360099217566404,0.5367868732952871,0.5964349190696547,0.019513516847934304,79247,309.559,3513048,2.255
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,5,0.7220208724509847,0.5247885309115169,0.552264354368377,0.5942888392359184,0.019817252353377463,79247,309.559,3513048,2.181
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,6,0.7187895725077508,0.5543002685884025,0.6518605655544871,0.6189952747194412,0.02004346068132608,79247,309.559,3513048,2.145
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,7,0.762106458233265,0.6265027109784626,0.6512239345351023,0.6646640687974597,0.01699582583630944,79247,309.559,3513048,2.13
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,8,0.7692240513514693,0.6429088577108618,0.6796307594416154,0.6777978739036115,0.016480670215379235,79247,309.559,3513048,2.501
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,9,0.7695297148596131,0.6586669787290185,0.6910317757479607,0.6967013397652001,0.016455946694458847,79247,309.559,3513048,2.315
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,42,10,0.7707960351076372,0.6691485813390411,0.697795317739108,0.6987483652026188,0.016362014412195026,79247,309.559,3513048,2.082
edge_iiotset,mlp,reputation,10,scaling,0.2,0.5,43,1,0.3849176891838784,0.19534063637484397,0.22505681800537627,0.25824490911994646,0.046787948854466674,79247,309.559,3513048,2.171
