dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,1,0.3387624994541723,0.19822644759601835,0.27873428890853785,0.22458277722152262,0.05039139984354484,79247,309.559,3513048,2.142
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,2,0.6431596873498974,0.457639534835614,0.5497205213123142,0.5058292219249955,0.025481158075393244,79247,309.559,3513048,2.322
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,3,0.7048600497794856,0.5327609262567958,0.5698903761453314,0.570688840340024,0.021054961289538755,79247,309.559,3513048,2.331
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,4,0.7529802192044015,0.6191646156503017,0.6637432013321739,0.6395433142103827,0.017637205591652064,79247,309.559,3513048,2.189
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,5,0.7596174839526658,0.6424774840990329,0.6604793308854492,0.6625629849431969,0.017160720732683956,79247,309.559,3513048,2.382
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,6,0.7600104798917078,0.6458413625014713,0.662509871770499,0.665399280019709,0.017131167209709183,79247,309.559,3513048,2.049
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,7,0.7608401379852409,0.6340907729327808,0.6693233676127266,0.664233073561793,0.017084052530975082,79247,309.559,3513048,2.247
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,8,0.7676957338107506,0.6570047520868179,0.6719278140437029,0.6787864917193386,0.01657814887101903,79247,309.559,3513048,2.021
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,9,0.7635474433430854,0.6622412309492814,0.666929466006048,0.6855112042501755,0.01686161742856034,79247,309.559,3513048,3.552
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,42,10,0.7608838042006899,0.6633582736898186,0.6647647687101792,0.6931483401330982,0.017048860507370214,79247,309.559,3513048,2.161
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,1,0.4443474084101131,0.2825878064425826,0.3467716299486258,0.308635499569153,0.04093018432664102,79247,309.559,3513048,2.375
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,2,0.6457359940613947,0.46304767927078416,0.5055537445243711,0.5088401158694849,0.025304638294847092,79247,309.559,3513048,2.015
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,3,0.7244661805161347,0.5193541976995294,0.49476569293507866,0.5862930469822121,0.019692963147404804,79247,309.559,3513048,2.422
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,4,0.7301864547399677,0.5491019204006554,0.5642616013605931,0.6076323158657277,0.0192852561953875,79247,309.559,3513048,2.369
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,5,0.732369765512423,0.5706185221102682,0.6664018061454944,0.6271775479084508,0.019128000472906286,79247,309.559,3513048,2.092
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,6,0.7347714073621239,0.5842569047275958,0.6690682585400066,0.6360880593103838,0.018954696407223897,79247,309.559,3513048,2.39
edge_iiotset,mlp,similarity_norm,10,scaling,0.2,0.5,43,7,0.737653377581765,0.5896886952185844,0.6858078598167154,0.6403307254605092,0.01874983475559873,79247,309.559,3513048,2.889
