dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,1,0.16261298633247456,0.07706873964205364,0.11268188502628947,0.11621266016016395,0.059857318219088976,79247,309.559,3513048,1.491
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,2,0.15820269857211475,0.0706816869091956,0.10112384833385862,0.13307154569482318,0.060125875810621995,79247,309.559,3513048,1.519
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,3,0.10855421160648007,0.04088483374655841,0.07528759396728185,0.08787868667674675,0.06362676786852564,79247,309.559,3513048,1.597
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,4,0.16955591458888258,0.07079341976583434,0.09566401146516255,0.15040576172422476,0.05932714105663459,79247,309.559,3513048,1.368
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,5,0.17553818610541025,0.07813125143768265,0.10150560496169142,0.15711244841869146,0.05889848778063047,79247,309.559,3513048,1.444
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,6,0.15479673376708442,0.06979329109798633,0.09680904073000204,0.1362475764498157,0.06038575582347933,79247,309.559,3513048,1.49
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,7,0.18488275621151914,0.11281265240088076,0.16196041974248868,0.16647453129899373,0.058246241657544016,79247,309.559,3513048,1.524
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,8,0.17745949958517096,0.1047824211940993,0.15428926194404174,0.15992202379732168,0.05877761096973266,79247,309.559,3513048,1.512
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,9,0.19606130736649055,0.12320464483270038,0.15477845845532257,0.1790927190022756,0.05744699472300932,79247,309.559,3513048,1.519
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,42,10,0.17815815903235666,0.11579709805829015,0.15544287730397735,0.16125953626653278,0.0587323348705687,79247,309.559,3513048,1.472
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,1,0.16187066066983974,0.07222871155907472,0.06387969754049073,0.13333333333333333,0.05991241295522968,79247,309.559,3513048,1.479
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,2,0.07257325007641588,0.016501802299121397,0.07154696572019408,0.07020118543018403,0.06629230002297419,79247,309.559,3513048,1.396
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,3,0.06737697043797214,0.008669756988341059,0.004636348612550893,0.06666666666666667,0.06666548228485854,79247,309.559,3513048,1.584
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,4,0.07606654731234444,0.020687130837819746,0.02435556472403662,0.07529819995662547,0.06604469940896976,79247,309.559,3513048,1.633
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,5,0.07969084319462032,0.024623867770624145,0.027397077862490394,0.07889828670570376,0.06578539820913987,79247,309.559,3513048,1.412
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,6,0.08004017291821318,0.025776580222665893,0.03131034067653786,0.07924528301886792,0.06576118659130609,79247,309.559,3513048,1.698
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,7,0.08047683507270424,0.026712156900836146,0.033705672821457124,0.07967902841032314,0.06572965734542772,79247,309.559,3513048,1.354
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,8,0.09506135103270599,0.04087222717408161,0.049836926155002105,0.09427429470025468,0.06468247688705163,79247,309.559,3513048,1.373
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,9,0.09034539976420243,0.03728624152242074,0.050899217084506856,0.08961207197060936,0.06501555837648226,79247,309.559,3513048,1.523
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,43,10,0.12466704510720056,0.0762258314531118,0.11697457886374245,0.11563550687783035,0.06256057957835903,79247,309.559,3513048,1.484
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,1,0.07873018645473996,0.017598481630091964,0.06878914690868324,0.07156402467090123,0.06583943943903223,79247,309.559,3513048,1.485
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,2,0.10606523732588097,0.030016356825754868,0.08006787545529345,0.10254392552689169,0.06374898699685622,79247,309.559,3513048,1.389
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,3,0.1335312868433693,0.04394444221463174,0.11188393654848486,0.13223358315199923,0.06176122343174914,79247,309.559,3513048,1.687
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,4,0.13746124623378891,0.04704701168838739,0.10650709697824548,0.13532766550781591,0.061496430115772195,79247,309.559,3513048,1.64
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,5,0.15322475001091657,0.05768301640340277,0.10398808647375889,0.14141716110723698,0.06037659186474585,79247,309.559,3513048,1.53
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,6,0.1653639579057683,0.07044947061513729,0.11200777419039962,0.15184434094203902,0.05951399010020323,79247,309.559,3513048,1.622
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,7,0.1709095672678049,0.07262688674367546,0.10602562046534254,0.15619626950689222,0.059122515860638256,79247,309.559,3513048,1.629
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,8,0.17077856862145757,0.07186227788265821,0.10419471860788872,0.15614103614594216,0.05913150499342478,79247,309.559,3513048,1.445
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,9,0.1740535347801406,0.07592268779736733,0.12178114365354811,0.1586013843372419,0.058900635795508714,79247,309.559,3513048,1.686
edge_iiotset,mlp,fedavg,10,sign_flip,0.2,0.5,44,10,0.17828915767870399,0.08341179859369288,0.12051475048023717,0.16292637350864944,0.058604243090322417,79247,309.559,3513048,1.495
