dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,1,0.27570848434566175,0.11162844997845155,0.1061976946698477,0.1845599430578634,0.054813594814360794,79247,309.559,3513048,1.906
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,2,0.459805248679097,0.2581487436296332,0.23683940775165224,0.34877665662282886,0.03874014188686595,79247,309.559,3513048,1.73
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,3,0.5305881839220995,0.33075902016306385,0.3028196635101408,0.4206458576273438,0.03366746782536102,79247,309.559,3513048,1.768
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,4,0.5580978996550369,0.4128027428472701,0.4088307005159035,0.4827350643833494,0.03170743708004509,79247,309.559,3513048,1.867
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,5,0.587485262652286,0.4408499929875695,0.43150760253833076,0.519061006915346,0.029616309313764435,79247,309.559,3513048,1.654
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,6,0.6007161259333653,0.4495078946018497,0.43084085051305565,0.5383488808817373,0.028675665775136052,79247,309.559,3513048,1.733
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,7,0.6570892100781626,0.5196008830897999,0.5751208680499412,0.5848822432712756,0.02456304932442403,79247,309.559,3513048,1.691
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,8,0.7010610890354133,0.5803497287846336,0.5952797199448957,0.6345306249616373,0.021389346132316044,79247,309.559,3513048,1.731
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,9,0.7301864547399677,0.608052856206888,0.6106377230122373,0.6602824065058066,0.019284494404341237,79247,309.559,3513048,1.71
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,42,10,0.7480022706432033,0.6313914841662558,0.651544313128986,0.6766001502253984,0.018003719716126687,79247,309.559,3513048,1.921
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,1,0.4157023710754989,0.22739436553698844,0.22768333058912896,0.28032364978246715,0.041846761804614184,79247,309.559,3513048,1.746
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,2,0.5305881839220995,0.3012292635271433,0.2706440329532475,0.39119442204619836,0.033547981362053544,79247,309.559,3513048,1.783
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,3,0.5832496397537226,0.3665715770117724,0.43847281009992317,0.44480694001439575,0.029782119110810763,79247,309.559,3513048,1.827
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,4,0.6531592506877429,0.4520955488321297,0.4338083962842908,0.517682050731912,0.024787763095261435,79247,309.559,3513048,1.935
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,5,0.6684860923103795,0.5105049479622519,0.6127501358756782,0.5630456688962596,0.023683777165023543,79247,309.559,3513048,2.052
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,6,0.728701803414698,0.5781715109633504,0.6600072568069105,0.6285772301942818,0.019387810438631945,79247,309.559,3513048,1.704
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,7,0.7339417492685909,0.5916946972699647,0.6469971118415346,0.6371839026878806,0.019013849237579747,79247,309.559,3513048,1.788
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,8,0.7297497925854766,0.5884747922154331,0.6682275907719422,0.6413607743578853,0.01931085357498965,79247,309.559,3513048,2.003
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,9,0.7337670844067945,0.5901012743469886,0.6727905975005622,0.6416131883030255,0.01902619480021012,79247,309.559,3513048,1.658
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,43,10,0.7341600803458365,0.5982096551239984,0.675421156982783,0.6478398050621464,0.01899526265581818,79247,309.559,3513048,1.74
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,1,0.4188900048032837,0.19356582530385594,0.15190510692681217,0.30306194701270345,0.04207934080913296,79247,309.559,3513048,1.843
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,2,0.4938648967294005,0.3082634240273247,0.3485552103063871,0.3790242285820889,0.03613543734624134,79247,309.559,3513048,1.653
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,3,0.5535129470328807,0.37660892997648704,0.40242113304499405,0.4389187536868601,0.031868722528904575,79247,309.559,3513048,1.812
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,4,0.5837736343391118,0.4069789041233584,0.4354066171594323,0.4923751046764579,0.02970442897011839,79247,309.559,3513048,1.882
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,5,0.6294921619143269,0.46819674314008564,0.4839127819859081,0.5400381464942924,0.0264498606286652,79247,309.559,3513048,1.927
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,6,0.6556918911837911,0.48036896982769595,0.5019781772833907,0.5698867145740364,0.02457576512396035,79247,309.559,3513048,1.824
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,7,0.6639011396882232,0.509760387156183,0.5062576204341638,0.5893804473436682,0.023992198076873965,79247,309.559,3513048,1.887
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,8,0.6674381031396008,0.5129369839501655,0.5156384247805968,0.5930143531433417,0.023737877083340145,79247,309.559,3513048,1.72
edge_iiotset,mlp,median,10,sign_flip,0.2,0.5,44,9,0.6986157809702633,0.5596444377444862,0.5529899783923764,0.6262094862121662,0.021514428387697165,79247,309.559,3513048,1.811
