dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,1,0.16261298633247456,0.07706873964205364,0.11268188502628947,0.11621266016016395,0.059857318219088976,79247,309.559,3513048,1.683
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,2,0.15820269857211475,0.0706816869091956,0.10112384833385862,0.13307154569482318,0.060125875810621995,79247,309.559,3513048,1.61
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,3,0.10855421160648007,0.04088483374655841,0.07528759396728185,0.08787868667674675,0.06362676786852564,79247,309.559,3513048,1.503
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,4,0.16955591458888258,0.07079341976583434,0.09566401146516255,0.15040576172422476,0.05932714105663459,79247,309.559,3513048,1.828
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,5,0.17553818610541025,0.07813125143768265,0.10150560496169142,0.15711244841869146,0.05889848778063047,79247,309.559,3513048,1.574
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,6,0.15479673376708442,0.06979329109798633,0.09680904073000204,0.1362475764498157,0.06038575582347933,79247,309.559,3513048,1.799
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,7,0.5098030653683245,0.2968728378658427,0.2538237616098764,0.40016818299625284,0.03593955153900085,79247,309.559,3513048,1.752
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,8,0.5167459936247325,0.30848734667151023,0.29999114517989806,0.40712766613114404,0.034643982022867115,79247,309.559,3513048,1.623
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,9,0.6101916946858216,0.4360537176680852,0.46669475310110564,0.4832232396689978,0.027903624813870622,79247,309.559,3513048,1.593
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,42,10,0.7420636653421248,0.5658400051860113,0.594345674650174,0.607138987336243,0.018429920096115784,79247,309.559,3513048,1.796
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,1,0.16187066066983974,0.07222871155907472,0.06387969754049073,0.13333333333333333,0.05991241295522968,79247,309.559,3513048,1.564
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,2,0.07257325007641588,0.016501802299121397,0.07154696572019408,0.07020118543018403,0.06629230002297419,79247,309.559,3513048,1.628
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,3,0.06737697043797214,0.008669756988341059,0.004636348612550893,0.06666666666666667,0.06666548228485854,79247,309.559,3513048,1.701
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,4,0.07606654731234444,0.020687130837819746,0.02435556472403662,0.07529819995662547,0.06604469940896976,79247,309.559,3513048,1.673
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,5,0.07969084319462032,0.024623867770624145,0.027397077862490394,0.07889828670570376,0.06578539820913987,79247,309.559,3513048,1.62
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,6,0.08004017291821318,0.025776580222665893,0.03131034067653786,0.07924528301886792,0.06576118659130609,79247,309.559,3513048,1.793
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,7,0.6521112615169643,0.4168690622142464,0.3654052319805445,0.5145611296861327,0.024845522358819337,79247,309.559,3513048,1.534
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,8,0.6725907165625955,0.44799710257806424,0.43679001533961626,0.5344445044082673,0.023382175576571095,79247,309.559,3513048,1.634
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,9,0.7277848128902668,0.5249201521735444,0.5932369806450644,0.5909540779836848,0.019457892946475933,79247,309.559,3513048,1.792
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,43,10,0.7313217763416445,0.5765665485886932,0.6598169528908636,0.6321810789459359,0.01920092078080661,79247,309.559,3513048,1.545
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,1,0.07873018645473996,0.017598481630091964,0.06878914690868324,0.07156402467090123,0.06583943943903223,79247,309.559,3513048,1.622
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,2,0.10606523732588097,0.030016356825754868,0.08006787545529345,0.10254392552689169,0.06374898699685622,79247,309.559,3513048,1.684
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,3,0.1335312868433693,0.04394444221463174,0.11188393654848486,0.13223358315199923,0.06176122343174914,79247,309.559,3513048,1.755
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,4,0.13746124623378891,0.04704701168838739,0.10650709697824548,0.13532766550781591,0.061496430115772195,79247,309.559,3513048,1.567
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,5,0.15322475001091657,0.05768301640340277,0.10398808647375889,0.14141716110723698,0.06037659186474585,79247,309.559,3513048,1.844
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,6,0.1653639579057683,0.07044947061513729,0.11200777419039962,0.15184434094203902,0.05951399010020323,79247,309.559,3513048,1.58
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,7,0.44299375573119076,0.26636858321477797,0.23778210510201953,0.3718503715622918,0.039946786225530745,79247,309.559,3513048,1.712
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,8,0.45338631500807824,0.29295106881301847,0.2968841814458305,0.38547116111021046,0.039211199102252715,79247,309.559,3513048,1.638
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,9,0.6487926291428322,0.4918213639519709,0.4800990920235357,0.5652723698545665,0.02508272553588923,79247,309.559,3513048,1.673
edge_iiotset,mlp,reputation,10,sign_flip,0.2,0.5,44,10,0.6697960787738527,0.5138179028348039,0.5301037874351402,0.5954941687920879,0.02357351484943627,79247,309.559,3513048,1.61
