dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,1,0.3387624994541723,0.19822644759601835,0.27873428890853785,0.22458277722152262,0.05039139984354484,79247,309.559,3513048,1.593
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,2,0.6431596873498974,0.457639534835614,0.5497205213123142,0.5058292219249955,0.025481158075393244,79247,309.559,3513048,1.727
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,3,0.7048600497794856,0.5327609262567958,0.5698903761453314,0.570688840340024,0.021054961289538755,79247,309.559,3513048,1.708
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,4,0.7529802192044015,0.6191646156503017,0.6637432013321739,0.6395433142103827,0.017637205591652064,79247,309.559,3513048,1.456
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,5,0.7596174839526658,0.6424774840990329,0.6604793308854492,0.6625629849431969,0.017160720732683956,79247,309.559,3513048,1.711
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,6,0.7600104798917078,0.6458413625014713,0.662509871770499,0.665399280019709,0.017131167209709183,79247,309.559,3513048,1.572
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,7,0.7608401379852409,0.6340907729327808,0.6693233676127266,0.664233073561793,0.017084052530975082,79247,309.559,3513048,1.428
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,8,0.7660800838391336,0.65315295406662,0.6740245899174534,0.6824246761637085,0.01671355642303092,79247,309.559,3513048,1.674
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,9,0.765818086546439,0.6542006789730623,0.6741065448780712,0.6916823368216449,0.016731567274071782,79247,309.559,3513048,1.512
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,42,10,0.7653814243919479,0.6584715153174385,0.6761092813431733,0.6917003436712488,0.0167628988352387,79247,309.559,3513048,1.676
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,1,0.4443474084101131,0.2825878064425826,0.3467716299486258,0.308635499569153,0.04093018432664102,79247,309.559,3513048,1.554
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,2,0.6457359940613947,0.46304767927078416,0.5055537445243711,0.5088401158694849,0.025304638294847092,79247,309.559,3513048,1.506
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,3,0.6808872974979259,0.4871599902154191,0.4845558929720022,0.544850377939897,0.02280054120698229,79247,309.559,3513048,1.447
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,4,0.722544867036374,0.551788262132808,0.6256581401439731,0.6036605364997781,0.019822958940505363,79247,309.559,3513048,1.532
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,5,0.7449019693463168,0.600780275682692,0.6260345287493614,0.6407276118744043,0.01822335475216982,79247,309.559,3513048,1.816
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,6,0.7465612855333829,0.6008572405043691,0.6369754865083566,0.6475012353862604,0.018103710554425216,79247,309.559,3513048,1.588
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,7,0.7537662110824854,0.6167111036150588,0.6323823984958892,0.6571489412643097,0.01758811771476768,79247,309.559,3513048,1.454
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,8,0.7389196978297891,0.6011347938482919,0.6815510924842322,0.6501367284595326,0.018648284472536806,79247,309.559,3513048,1.619
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,9,0.7469979476878739,0.6096249636285147,0.68951853478472,0.6609505968258717,0.01807143363107135,79247,309.559,3513048,1.545
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,43,10,0.7482206017204489,0.6373309805869757,0.6912164877159352,0.6875685436552814,0.017979203590564378,79247,309.559,3513048,1.556
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,1,0.4094581022662766,0.21164672492678155,0.22677009829158598,0.2842921057845256,0.04383345181012198,79247,309.559,3513048,1.647
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,2,0.5880529234531243,0.4157118852102396,0.5083242521533607,0.47461123368886315,0.029403512824711805,79247,309.559,3513048,1.777
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,3,0.6792279813108598,0.5226054878873768,0.5313387274386641,0.5887741261175276,0.022905096156528547,79247,309.559,3513048,1.473
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,4,0.6825029474695428,0.5288965093247859,0.5429303692682181,0.5952898495790614,0.02266721601180682,79247,309.559,3513048,1.682
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,5,0.6932011702545741,0.5356186757388385,0.5252463162696157,0.6165931833522028,0.02191277129332198,79247,309.559,3513048,1.538
edge_iiotset,mlp,similarity_norm,10,sign_flip,0.2,0.5,44,6,0.7077856862145758,0.5627930281512179,0.6000959630063392,0.6321057915321886,0.02086887992730892,79247,309.559,3513048,1.602
