dataset,model,method,clients,attack,malicious_fraction,alpha,seed,round,accuracy,macro_f1,precision,recall,fpr,params,model_kb,bytes_per_round,round_time_s
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,1,0.2578053360115279,0.12423651143977728,0.13744660790744884,0.16650633332127632,0.053040622587332664,79247,309.559,3513048,1.915
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,2,0.2554910265927252,0.12042191635610683,0.19107225462374203,0.16418151125591718,0.05319529343908762,79247,309.559,3513048,1.844
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,3,0.2584603292432645,0.12782439429110995,0.19001841720885118,0.16703287063358166,0.05298419577732922,79247,309.559,3513048,1.829
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,4,0.27361250600410464,0.14096053362541905,0.24649632505157226,0.1816105961022546,0.05190339253507754,79247,309.559,3513048,1.659
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,5,0.3233483254006375,0.1867804359129011,0.2149894728755666,0.22481156233088612,0.048348868894434086,79247,309.559,3513048,1.926
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,6,0.3822540500414829,0.218835474252272,0.21212232969629194,0.2740411602169858,0.04414464312248672,79247,309.559,3513048,1.845
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,7,0.4232566263481944,0.24772979243279464,0.22319826980286245,0.3129421210825498,0.04121624378388679,79247,309.559,3513048,1.689
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,8,0.44395441247107115,0.23787946733475732,0.1959969267528661,0.3326431609886597,0.03986559874322821,79247,309.559,3513048,1.747
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,9,0.5024234749574255,0.29617907069722343,0.2559597925877361,0.39270385190312673,0.035695551173272916,79247,309.559,3513048,2.044
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,42,10,0.5037771276363477,0.2982831534920289,0.2543043928970427,0.3940514821902749,0.03559763658490805,79247,309.559,3513048,2.5
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,43,1,0.20047159512685037,0.10190424372493533,0.11296893986351211,0.16211671612265083,0.057273274611531484,79247,309.559,3513048,2.354
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,43,2,0.1392515610672023,0.09165055060425716,0.17688793854438903,0.12186610910434151,0.06152867316627796,79247,309.559,3513048,1.908
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,43,3,0.20055892755774857,0.1637020472680412,0.3010245332803835,0.18096453471330692,0.05714595979891412,79247,309.559,3513048,1.934
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,43,4,0.2916466529845858,0.21843498147962348,0.3031696319858852,0.23734529347354452,0.050638029139214905,79247,309.559,3513048,1.714
edge_iiotset,mlp,trimmed_mean,10,sign_flip,0.2,0.5,43,5,0.3534780140605214,0.25128710872491944,0.3047700247484038,0.27659026865214237,0.04622255932922923,79247,309.559,3513048,2.005
